Word,Type,Meaning,Page
Il fait beau.,,天气晴朗,160
Il fait bon.,,气温舒适,160
Il fait chaud.,,天气热,160
Il fait combien?,,气温多少度?,160
Il fait doux.,,天气暖和,160
Il fait frais.,,天气凉爽,160
Il fait froid.,,天气冷,160
Il fait gris.,,天气阴沉,160
Il fait jour.,,天亮了,108
Il fait mauvais.,,天气不好,160
Il fait nuit.,,天黑了,108
Il faut...,,需要...,112
Il neige.,,下雪了,160
Il pleut à torrents.,,大雨倾盆,160
Il pleut.,,下雨了,160
Il reste...,,剩下...,206
immeuble,(n.m.),大楼,74
"impatient, e",(adj.),不耐烦的,30
imperméable,(n.m.),雨衣,62
impersonnel,(adj.),无人称的,112
"impoli, e",(adj.),不礼貌的,2
impôt,(n.m.),所得税,148
impression,(n.f.),"印象、感受",36
imprimante,(n.f.),打印机,130
"inclus, e",(adj.),包括在内的,188
inculte,(adj.),没有文化的,206
indiqué,(adj.),指明的,174
Indonésie,(n.pr.f.),印度尼西亚,152
"infirmier, ère",(n.),护士,124
"informaticien, ne",(n.),信息处理员,"124, 130"
informations,(n.f.pl.),"消息、新闻",78
informatique,(n.f.),电脑信息行业,126
ingénieur,(n.m.),工程师,124
instant,(n.m.),"瞬间、片刻",38
"instituteur, trice",(n.),小学教师,124
instrument,(n.m.),弹奏乐器,208
"intelligent, e",(adj.),聪明的,30
intéresser à (s'),(v.pron.),对...感兴趣,208
intérieur,(n.m.),内部,174
Internet,,互联网,130
"intolérant, e",(adj.),不宽容的,30
introduisez,,插入,138
inviter,(v.t.),邀请,36
"irlandais, e",(adj. et n.),"爱尔兰的、爱尔兰人",154
italien,(n.m.),意大利语,154
"italien, ne",(adj. et n.),"意大利的、意大利人",154
"jaloux, se",(adj.),嫉妒的,22
jambe,(n.f.),小腿,"44, 52"
jambon,(n.m.),火腿,88
janvier,(n.m.),一月,108
Japon,(n.pr.m.),日本,152
jardin,(n.m.),花园,70
jardinage,(n.m.),园艺,196
jeu,(n.m.),游戏,200
jeune,(adj.),年轻的,"16, 56"
jeux de société,(n.m.pl.),有规则的智力游戏,200
Je vous en prie.,,"不用谢、请",4
jogging,(n.m.),慢跑,198
joindre,(v.t.),"连接、联系","38, 130"
"joli, e",(adj.),"漂亮的、好看的","56, 166"
jouer,(v.i. et t.),"玩、表演",206
jouer aux échecs,,下棋,200
jouet,(n.m.),玩具,200
"joueur, euse",(n.),球员,198
jour,(n.m.),"天、日子","108, 112"
jour de l'An,(n.m.),元旦,112
jour férié,(n.m.),节假日,112
journal,(n.m.),"报纸、纸",78
journal télévisé,(n.m.),电视新闻,132
journaliste,(n.),记者,124
journée,(n.f.),白天,"8, 110"
joyeux,(adj.),愉快的,8
juillet,(n.m.),七月,108
juin,(n.m.),六月,108
jupe,(n.f.),短裙,62
jupe habillée,(n.f.),漂亮的裙子,64
jusqu'au bout,,一直到尽头,172
juste,(adv.),刚好,172
Kenya,(n.pr.m.),肯尼亚,152
kilomètre,(n.m.),公里,"174, 178"
kiosque à journaux,(n.m.),报亭,132
là-bas,(adv.),在那里,174
lac,(n.m.),湖,166
"laid, e",(adj.),"丑的、难看的",56
laine,(n.f.),羊毛,64
laisser,(v.t.),留下,38
laisser passer,,让...先行,8
laisser un message,,留言,130
lait,(n.m.),牛奶,90
lampe,(n.f.),电灯,72
lancer,(v.t.),"投、掷、抛",46
langue,(n.f.),语言,126
langue familière,(n.f.),通俗的语言,126
lavabo,(n.m.),洗脸池,74
lave-linge,(n.m.),洗衣机,"72, 80"
laver (s'),(v.pron.),"洗脸、洗澡",80
laver à la main,,手洗,80
lave-vaisselle,(n.m.),洗碗机,"72, 80"
lecteur DVD,(n.m.),数码放像机,132
légume,(n.m.),蔬菜,90
"lent, e",(adj.),缓慢的,166
lentilles,(n.f.pl.),小扁豆,90
lentilles de contact,(n.f.pl.),隐形眼镜,50
lessive,(n.f.),洗涤,80
lettre,(n.f.),信,"78, 146"
lever (s'),(v.pron.),"起身、起床","46, 78"
liaison,(n.f.),"连接、结合",20
librairie,(n.f.),书店,208
libre,(adj.),"自由的、空闲的","22, 36"
ligne,(n.f.),"线、电话线",38
linge,(n.m.),"内衣、床上用品",80
linge à laver,(n.m.),待洗的衣物,80
lire,(v.t.),阅读,"78, 208"
lit,(n.m.),床,"72, 80"
livraison,(n.f.),送货,98
livre,(n.m.),书,208
livre de cuisine,(n.m.),食谱,102
livrer,(v.t.),送货,98
locataire,(n.m.),房客,74
loin de,(loc. adv.),离...远,172
"long, gue",(adj.),长的,58
lot,(n.m.),"彩、奖",200
Loto,(n.m.),彩票,200
louer,(v.t.),租,74
"lourd, e",(adj.),沉重的,46
loyer,(n.m.),房租,74
lumière,(n.f.),灯光,74
lundi,(n.m.),星期一,"2, 46"
lune,(n.pr.f.),月球,152
lunettes,(n.f.pl.),眼镜,50
"luxembourgeois, e",(adj. et n.),"卢森堡的、卢森堡人",154
lycée,(n.m.),高中,116
lycée technique,(n.m.),技术高中,116
macaroni,(n.m.),意大利通心粉,90
machine à laver,(n.f.),洗衣机,80
madame,(n.f.),"大人、太太、女士",2
magasin,(n.m.),商店,46
magazine,(n.m.),杂志,132
magnétophone,(n.m.),录音机,132
magnétoscope,(n.m.),录像机,132
mai,(n.m.),五月,108
maigrir,(v.i.),消瘦,56
maillot de bain,(n.m.),"泳裤、泳衣","62, 198"
main,(n.f.),手,44
mairie,(n.f.),"市(区、乡、村)政府","20, 148"
mais,(conj.),但是,46
maison,(n.f.),房子,166
mal,(adv.),"糟糕、不好",50
malade,(adj.),生病的,50
maladie,(n.f.),疾病,50
"malheureux, se",(adj.),不幸的,24
malhonnête,(adj.),"不诚实的、不光明正大的",30
manteau,(n.m.),大衣,"4, 62"
maquiller (s'),(v.pron.),化妆,80
"marchand, e",(n.),商贩,132
marché,(n.m.),市场,132
marcher,(v.i.),"走、运行","46, 178, 196"
mari,(n.m.),丈夫,14
mariage,(n.m.),"结婚、婚礼",6
"marié, e",(adj.),已婚的,14
marier (s'),(v.pron.),结婚,"20, 148"
marketing,(n.m.),市场营销,4
Maroc,(n.pr.m.),摩洛哥,152
marquer un but,,进球,198
marron,(adj. inv.),棕色的,58
mars,(n.m.),三月,108
"masculin, e",(adj.),阳性的,126
match,(n.m.),比赛,"132, 198"
matière,(n.f.),科目,118
matin,(n.m.),早晨,78
"mauvais, e",(adj.),"坏的、恶的","6, 28, 36"
mayonnaise,(n.f.),蛋黄酱,90
"mécanicien, ne",(n.),机械师,178
"méchant, e",(adj.),凶恶的,30
médecin,(n.m.),"医生、内科医生","50, 124"
médicament,(n.m.),药品,50
Méditerranée,(n.pr.f.),地中海,152
melon,(n.m.),瓜,86
même,(adj.),"一样的、相同的","8, 66, 188"
ménage,(n.m.),家务,78
mensonge,(n.m.),谎言,34
"menteur, se",(n.),说谎的人,34
menu,(n.m.),套餐,104
mer,(n.f.),海,152
merci,(interj.),谢谢,2
"merveilleux, se",(adj.),"神奇的、绝妙的",28
message,(n.m.),"消息、信件",38
messagerie,(n.f.),电子邮件信箱,130
mesurer,(v.i.),测量,56
météo,(n.f.),气象预报,132
métier,(n.m.),职业,126
métro,(n.m.),地铁,180
mettre,(v.t.),"穿、戴","64, 112"
mettre de l'argent de côté,,存钱,138
militaire,(adj.),军事的,112
mille-feuille,(n.m.),千层饼,92
mince,(adj.),苗条的,56
minitel,(n.m.),信息查询机,146
minute,(n.f.),分钟,110
miroir,(n.m.),镜子,74
modèle,(n.m.),式样,66
moderne,(adj.),"现代的","74, 208"
modeste,(adj.),谦虚的,30
moins que,(adv.),少于,16
mois,(n.m.),月,116
moment,(n.m.),"时候、时间",38
"mon, ma, mes",(adj. pos.),我的,"2, 6"
monnaie,(n.f.),零钱,136
Monopoly,(n.pr.m.),"大富豪"游戏,200
monsieur,(n.m.),先生,2
montagne,(n.f.),山,190
monter,(v.i.),上去,74
monter l'escalier,,爬楼梯,174
montre,(n.f.),"手表","64, 110"
monument,(n.m.),"纪念性建筑物、名胜古迹",188
moquette,(n.f.),机织割绒地毯,72
morceau,(n.m.),块,90
mort,(n.m.),死亡者,52
"mort, e",(p.p. ou adj.),死亡的,16
moteur,(n.m.),发动机,178
moto,(n.f.),摩托车,178
mots croisés,,填字游戏,200
mouchoir,(n.m.),手帕,64
mouchoir en papier,(n.m.),纸巾,82
moule,(n.f.),淡菜,88
moule à gâteau,(n.m.),糕点模,102
mousse à raser,(n.f.),剃须膏,80
moustache,(n.f.),小胡子,58
moutarde,(n.f.),芥末酱,90
mouton,(n.m.),绵羊,166
"muet, te",(adj.),哑的,50
muguet,(n.m.),铃兰,112
mur,(n.m.),墙壁,70
muscle,(n.m.),肌肉,44
"musicien, ne",(n.),音乐家,208
musique,(n.f.),音乐,208
nager,(v.i.),游泳,190
nappe,(n.f.),桌布,102
natation,(n.f.),游泳,198
nature,(n.f.),自然,166
"né, e",(p.p. ou adj.),出生的,16
néerlandais,(n.m.),荷兰语,154
"néerlandais, e",(adj. et n.),"荷兰的、荷兰人",154
neige,(n.f.),雪,160
ne...jamais,,从不,118
"nerveux, se",(adj.),"易激动的、易发火的",28
nettoyer,(v.t.),打扫,180
"neuf, ve",(adj.),崭新的,178
neveu,(n.m.),侄子/外甥,14
nez,(n.m.),鼻子,"44, 58"
nièce,(n.f.),"侄女、外甥女",14
Noël,(n.m.),圣诞节,"8, 112"
"noir, e",(adj.),黑色的,58
non,(adv.),不,4
nord,(n.m.),北,152
note,(n.f.),成绩,118
"nouveau, nouvel, nouvelle",(adj.),新的,"4, 126"
nouvelle,(n.f.),"消息、新闻","6, 78"
Nouvelle-Zélande,(n.pr.f.),新西兰,152
novembre,(n.m.),十一月,108
nuage,(n.m.),云,162
"nu, e",(adj.),裸身的,62
nuit,(n.f.),夜间,"8, 108, 188"
numéro,(n.m.),号码,38
numéro de compte,(n.m.),账号,138
obtenir,,取得,148
occasion,(n.f.),"二手、机会",178
Occident,(n.pr.m.),西方,152
"occidental, e",(adj.),西方的,152
océan,(n.m.),海洋,152
Océanie,(n.pr.f.),大洋洲,152
octobre,(n.m.),十月,108
œuf,(n.m.),蛋,90
"œil, yeux",(n.m.),眼睛,58
œuvre d'art,(n.f.),艺术品,206
offrir,(v.t.),馈赠,208
oignon,(n.m.),洋葱,86
oiseau,(n.m.),鸟,166
olive,(n.f.),橄榄,90
on,(pron.),人们,2
oncle,(n.m.),"叔、伯、舅",14
opéra,(n.m.),歌剧,208
opération,(n.f.),手术,52
opérer,(v.t.),动手术,52
optimiste,(adj.),乐观的,28
or,(n.m.),金子,64
orage,(n.m.),阵雨,162
orange,(n.f.),"橙、橙色","86, 90"
ordinateur,(n.m.),电脑,130
ordinateur portable,(n.m.),笔记本电脑,130
oreille,(n.f.),耳朵,44
oreiller,(n.m.),枕头,72
"organisé, e",(adj.),组织好的,186
Orient,(n.pr.m.),东方,152
"oriental, e",(adj.),东方的,152
origine,(n.f.),"出身、原籍",156
où,(adv.),哪里,"6, 172"
ouest,(n.m.),西,152
ouvrir,(v.t.),"打开","8, 74"
ouvrir un compte,,开户,138
Pacifique,(n.pr.m.),太平洋,152
pain,(n.m.),面包,92
pain aux raisins,(n.m.),葡萄面包,92
pain de campagne,(n.m.),乡下面包,92
paire de ciseaux,(n.f.),(一把)剪刀,82
pamplemousse,(n.m.),柚子,86
panier,(n.m.),篮子,98
panne,(n.f.),故障,178
pansement,(n.m.),"护创膏、包扎",52
pantalon,(n.m.),长裤,"52, 64"
papier,(n.m.),纸,82
papier à dessin,(n.m.),画纸,208
papier à lettres,(n.m.),信纸,82
papiers,(n.m.pl.),证件,"148, 178"
Pâques,(n.m.sing.),复活节,112
paquet,(n.m.),包裹,146
parapluie,(n.m.),雨伞,64
parasol,(n.m.),遮阳伞,190
pardon,(n.m.),对不起,6
parents,(n.m.pl.),父母,14
"paresseux, se",(adj.),懒惰的,30
par ici,(loc. adv.),走这边,172
"parisien, ne",(adj. et n.),"巴黎的、巴黎人",156
par jour,,平均每天,52
partie,(n.f.),(一)局,200
partir,(v.i.),"走、离开","22, 78"
"passager, ère",(n.),乘客,180
passeport,(n.m.),护照,186
passer,(v.i.),"经过、上映","146, 166, 206"
passer,(v.t.),度过,"16, 110"
passer les vacances,,度假,190
passion,(n.f.),激情,20
"passionné, e",(adj.),"激动的、热烈的",126
passoire,(n.f.),过滤网,102
pastille,(n.f.),片剂,52
pâtes,(n.f.pl.),面条,90
"patient, e",(n.),病人,"52, 124"
"patient, e",(adj.),耐心的,30
patienter,(v.i.),耐心等待,"38, 138"
pâtisserie,(n.f.),糕点铺,92
pâtissier,(n.m.),糕点师,92
pauvre,(adj.),"可怜的、贫穷的","6, 136"
payer,(v.t.),付款,98
payer en espèces (en liquide),,用现金支付,140
pays,(n.m.),国家,156
peau,(n.f.),皮肤,44
pêche,(n.f.),钓鱼,196
pêche,(n.f.),桃子,86
peigne,(n.m.),梳子,82
peindre,(v.t.),作(油)画,208
peintre,(n.m.),画家,208
peinture,(n.f.),油画,208
pendule,(n.f.),挂钟,110
penser,(v.t.),想,36
perdre,(v.t.),"丢失、失去、输","24, 56, 198"
personne âgée,(n.f.),老年人,16
"personnel, le",(adj.),"有人称的、有个人特色的","8, 112"
pessimiste,(adj.),悲观的,28
"petit, e",(adj.),"小的、矮的","8, 56"
petite-fille,(n.f.),孙女,14
petit-enfant,(n.m.),孙辈,14
petit déjeuner,(n.m.),早餐,104
petit-fils,(n.m.),孙子,14
petit parapluie,(n.m.),折伞,82
petits pois,(n.m.pl.),豌豆,96
peu,(adv.),点儿,56
phare,(n.m.),车灯,178
photo,(n.f.),照片,186
photocopie,(n.f.),复印,148
phrase,(n.f.),句子,34
pianiste,(n.),"钢琴演奏者、钢琴家",208
piano,(n.m.),钢琴,208
pièce (de monnaie),(n.f.),硬币,136
pièce,(n.f.),话剧,206
pied,(n.m.),脚,"44, 172"
pilote,(n.m.),飞行员,124
pinceau,(n.m.),画笔,208
pique-nique,(n.m.),野餐,196
piscine,(n.f.),游泳池,198
piste de décollage,(n.f.),起飞跑道,180
piste,(n.f.),滑雪道,190
placard,(n.m.),"壁橱、吊柜",72
place,(n.f.),"广场、座位","166, 206"
place en seconde classe,,二等车厢的座位,180
plafond,(n.m.),天花板,70
plage,(n.f.),海滨,190
plaisir,(n.m.),"愉快、高兴","4, 36"
plan,(n.m.),城市地图,186
plastique,(n.m.),塑料,64
plat,(n.m.),"盘子、一道菜",102
"plat, e",(adj.),平的,64
plat principal,(n.m.),主菜,104
pleurer,(v.i.),哭泣,24
plier,(v.t.),折叠,80
plomb,(n.m.),铅,178
plombier,(n.m.),水暖工,124
pluie,(n.f.),雨,160
plus,(adv.),更加,8
plusieurs,(adj. indéf.),好几个的,208
plus que,(adv.),多于,16
plutôt,(adv.),"宁愿、还算是",28
poêle,(n.f.),平底煎锅,102
poids,(n.m.),"体重、重量",56
pointure,(n.f.),鞋码,66
poire,(n.f.),生梨,86
poireau,(n.m.),大葱,86
pois chiches,(n.m.pl.),鹰嘴豆,90
poissonnerie,(n.f.),鱼铺,88
poissonnier,(n.m.),鱼商,88
poitrine,(n.f.),胸,44
poivre,(n.m.),胡椒,90
poivron,(n.m.),圆椒,86
police,(n.f.),"警察局、警察",148
"poli, e",(adj.),礼貌的,2
politesse,(n.f.),礼节,8
Pologne,(n.pr.f.),波兰,152
"polonais, e",(adj.),波兰的,34
Polytechnique,(n.f.),理工大学,116
pomme,(n.f.),苹果,86
pomme de terre,(n.f.),土豆,86
pompier,(n.m.),消防员,"8, 148"
pont,(n.m.),桥,166
porc,(n.m.),猪肉,88
porte,(n.f.),门,"8, 70"
portefeuille,(n.m.),钱夹,82
porte-monnaie,(n.m.),钱包,82
porter,(v.t.),"身穿、提、背","20, 46"
portugais,(n.m.),葡萄牙语,154
"portugais, e",(adj. et n.),"葡萄牙的、葡萄牙人",154
poser,(v.t.),"放、摆",46
"positif, ve",(adj.),"正面的、肯定的",206
possible,(adj.),可能的,6
poste,(n.f.),邮局,6
poster,(v.t.),"寄、投入信箱",146
pot,(n.m.),罐,96
poubelle,(n.f.),垃圾箱,8
poudre,(n.f.),粉,90
poule,(n.f.),母鸡,166
poulet,(n.m.),"鸡肉、童子鸡","88, 166"
poupée,(n.f.),玩具娃娃,200
pour,(prép.),寄往某地的,146
pourquoi,(adv.),为什么,34
pouvoir,(v.t.),能够,"4, 38"
pratiquer,(v.t.),"从事、定期做",196
préférer,(v.t.),更喜欢,188
prélèvement,(n.m.),扣除,140
premier étage,(n.m.),二楼,70
"premier, ère",(adj.),第一的,174
prendre,(v.t.),"拿、取、服用","4, 52"
prendre des kilos,,"体重增加、长胖",56
prendre des photos,,拍照,188
prendre une correspondance,,转车,180
préparer,(v.t.),准备,186
près,(adv.),附近,172
préservatif,(n.m.),避孕套,52
"pressé, e",(adj.),"有事的、急的",112
"prêt, e",(adj.),准备好的,80
prêter,(v.t.),"借给、出借",6
"prétentieux, se",(adj.),自负的,30
printemps,(n.m.),春天,108
prioritaire,(adj.),优先的,146
priorité,(n.f.),优先,8
prix,(n.m.),价格,98
problème,(n.m.),问题,148
professeur,(n.m.),(高中、大学)老师,"118, 124"
"programmeur, euse",(n.),程序编制员,126
promenade,(n.f.),散步,196
promener (se),(v.pr.),散步,"188, 196"
prononciation,(n.f.),发音,34
proposer,(v.t.),建议,36
proposition,(n.f.),建议,36
propriétaire,(n.m.),房东,74
province,(n.f.),外省,156
"provincial, e, provinciaux, provinciales",(adj. et n.),"外省的、外省人",156
provoquer,(v.t.),"激起、惹起",126
publicité,(n.f.),广告,132
puis,(adv.),"接着、然后",46
pull,(n.m.),针织套衫,62
PV (procès-verbal),(n.m.),交通违章记录,178
pyjama,(n.m.),睡衣,62
Pyrénées,(n.pr.f.),比利牛斯山,156
quai,(n.m.),月台,180
quand,(conj.),当...时,2
quart d'heure,(n.m.),一刻钟,110
quel âge,,几岁,56
quel jour,,星期几,108
Quelle heure est-il?,,现在几点钟?,110
"quel, quelle",(adj.),"什么样的、哪一个的",108
quelqu'un,(pron. ind.),某人,2
Qu'est-ce que je peux apporter?,,我带什么礼物来?,8
queue,(n.f.),"队伍、尾巴",148
quitter,(v.t.),离开,22
raconter,(v.t.),"叙述、讲述","34, 190"
radiateur,(n.m.),"电暖气、热水器",72
radio,(n.f.),"广播","78, 132"
radis,(n.m.),小红萝卜,86
raide,(adj.),硬的,58
raisin,(n.m.),葡萄,86
ramasser,(v.t.),拾,8
randonnée,(n.f.),"出游、远足",198
ranger,(v.t.),整理,80
rapide,(adj.),迅速的,168
rappeler,(v.t.),"叫回、再一次打电话",38
raquette,(n.f.),球拍,198
raser (se),(v.pron.),刮胡须,80
rasoir,(n.m.),剃须刀,80
rater,(v.t.),"错过、没赶上、考试失败","116, 180"
rayon,(n.m.),货架,98
recalé,(p.p.),考试不及格的,116
recette,(n.f.),菜谱,102
recevoir,(v.t.),"接待、收到","74, 146"
rencontrer,(v.t.),"遇见、碰见",20
redoubler la terminale,,"留级、重读高中毕业班",116
refuser,(v.t.),拒绝,36
regarder,(v.t.),看,78
règle,(n.f.),规则,200
régime,(n.m.),饮食制度,56
région,(n.f.),地区,156
relation,(n.f.),关系,20
remarier (se),(v.pron.),再婚,22
remboursement,(n.m.),还款,140
rembourser,(v.t.),还款,140
rembourser les médicaments,,报销药费,148
remercier,(v.t.),感谢,6
remontées mécaniques,(n.f.pl.),"机械攀登装置、缆车",190
réfrigérateur,(n.m.),电冰箱,72
remplir,,填写,140
rendez-vous,(n.m.),约会,112
renseignements,(n.m.pl.),"问讯、咨询",186
renseigner,(v.t.),"告诉、向...提供情况",66
rentrée scolaire,(n.f.),学校开学,116
rentrer,(v.i.),回家,74
repas,(n.m.),一顿饭,104
repassage,(n.m.),熨烫,80
repasser,(v.t.),熨烫,80
réparer,(v.t.),修理,178
répéter,(v.t.),重复,34
répondeur,(n.m.),录音电话,78
reportage,(n.m.),采访报道,132
reposer (se),(v.pron.),休息,"8, 50, 188"
réservation,(n.f.),预定,188
réserver,(v.t.),预定,180
réserver une chambre,,预定房间,188
responsible,(n.),负责人,4
ressembler à,(v.i.),和...相像,56
rester,(v.i.),保持,64
rester à la maison,,呆在家里,74
retard,(n.m.),迟到,"6, 112"
retirer,,取(钱),138
retrait d'argent,,取款,138
retraite,(n.f.),退休,126
"retraité, e",(adj.),退休的,126
réveil,(n.m.),闹钟,"78, 110"
revenir de,(v.i.),从...回来,190
révision,(n.f.),检修,178
rez-de-chaussée,(n.m.),底楼,"70, 174"
rhume,(n.m.),"伤风、感冒",50
riche,(adj.),富有的,136
rideaux,(n.m.pl.),窗帘,72
rire,(v.i.),笑,"24, 28"
risquer de,,危险,2
rivière,(n.f.),河,166
riz,(n.m.),大米,90
robe,(n.f.),连衣裙,62
robe de mariée,(n.f.),婚纱,20
roi,(n.m.),国王,112
roman,(n.m.),小说,208
"rond, e",(adj.),"圆的、胖的",56
rond-point,(n.m.),圆形广场,174
roquefort,(n.m.),罗克福尔干酪,90
rôti,(n.m.),烤小牛肉,88
roue,(n.f.),车轮,178
"roulant, e",(adj.),滚动的,50
rouler,(v.i.),开车,178
route,(n.f.),公路,166
"roux, sse",(adj.),红棕色的,58
rue,(n.f.),马路,"2, 6, 46"
rugby,(n.m.),橄榄球,198
sable,(n.m.),沙,190
sac,(n.m.),包,46
sac à dos,(n.m.),背包,"186, 198"
sac à main,(n.m.),手提包,64
sac de voyage,(n.m.),旅行包,186
sac en plastique,(n.m.),塑料袋,82
salade,(n.f.),色拉,86
saladier,(n.m.),色拉凉拌菜碗,102
salle,(n.f.),"室、厅",70
salle de bains,(n.f.),浴室,70
salle de cinéma,(n.f.),电影院,206
salle de classe,(n.f.),教室,118
salle de séjour,(n.f.),起居室,70
salle de spectacle,(n.f.),剧院,206
salon,(n.m.),客厅,70
SAMU,(n.pr.m.),卫生急救站,148
sang,(n.m.),血,44
sans,(prép.),不含...的,178
santé,(n.f.),"健康、身体",50
sapin de Noël,(n.m.),圣诞树,112
sardine,(n.f.),沙丁鱼,88
sauce tomate,(n.f.),番茄酱,90
saucisse,(n.f.),香肠,88
saucisson,(n.m.),灌肠,88
sauf,(prép.),除了...以外,156
saumon,(n.m.),鲑鱼,88
savoir,(v.t.),知道,6
savon,(n.m.),肥皂,"74, 80"
scrabble,(n.m.),拼字游戏,200
sculpture,(n.f.),雕刻,208
"sec, sèche",(adj.),干的,190
sécher (se) les cheveux,,吹干头发,80
séchoir à cheveux,(n.m.),电吹风,80
secrétaire,(n.),秘书,124
Sécurité sociale,(n.pr.f.),社会保险,148
se dire au revoir,,互相道别,4
se dire bonjour,,互相问候,4
se faire voler,,被偷窃,148
séjour,(n.m.),逗留,188
se laver les cheveux,,洗头,80
sein,(n.m.),乳房,44
sel,(n.m.),盐,90
Sénégal,(n.pr.m.),塞内加尔,152
sensible,(adj.),敏感的,30
séparation,(n.f.),分离,22
septembre,(n.m.),九月,108
"sérieux, se",(adj.),"严肃的、认真的",28
serrer (se) la main,,互相握手,4
serrure,(n.f.),锁,70
"serveur, se",(n.),服务员,124
service des urgences,(n.m.),急诊部,52
serviette,(n.f.),餐巾,102
serviette de bain,(n.f.),浴巾,74
"seul, e",(adj.),"独门的、唯一的","20, 186"
shampooing,(n.m.),洗发香波,80
si,(adv.),假如,8
siècle,(n.m.),世纪,118
signifier,(v.t.),意味着,34
"s'il vous plaît, s'il te plaît",,请,6
site,(n.m.),网站,130
ski,(n.m.),滑雪,190
"skieur, se",(n.),滑雪者,190
slip,(n.m.),三角裤,62
sociable,(adj.),"好相处的、易于交往的",30
société,(n.f.),公司,124
sœur,(n.f.),姐妹,14
soie,(n.f.),真丝,64
soigner,(v.t.),治疗,50
soins médicaux,(n.m.pl.),医疗,148
soir,(n.m.),晚上,"78, 108"
soirée,(n.f.),"晚间、晚上","8, 110"
"soit...soit",(loc. conj.),"或者...或者",126
sol,(n.m.),地面,70
sole,(n.f.),鳎鱼,88
soleil,(n.m.),"太阳、阳光","64, 152, 162, 190"
somme,(n.f.),总额,140
somme d'argent,(n.f.),一笔钱,"8, 118"
sommet,(n.m.),山顶,190
sonner,(v.i.),"按门铃、(电话)铃响","8, 74, 130"
sonnette,(n.f.),门铃,74
sonore,(adj.),发声的,38
sorbet,(n.m.),果冻,92
sortie,(n.f.),出口,174
sortir,(v.i.),出去,"46, 174"
souffler,(v.i.),吹,162
souhaiter,(v.t.),祝愿,112
"sourd, e",(adj.),聋的,50
sourire,(v.i.),微笑,24
souris,(n.f.),鼠标,130
soutien-gorge,(n.m.),胸罩,62
spaghetti,(n.m.),意大利面条,90
spectacle,(n.m.),演出,206
"spectateur, trice",(n.),观众,206
sport,(n.m.),体育,196
"sportif, ve",(adj.),"运动的、体育的","148, 196"
sports d'hiver,(n.m.pl.),冬季运动,190
stade,(n.m.),体育场,198
stage,(n.m.),实习,"118, 126"
stagiaire,(n.),实习生,126
station,(n.f.),"地铁站、车站",180
station-service,(n.f.),加油站,178
stylo,(n.m.),钢笔,82
sucre,(n.m.),食糖,90
sud,(n.m.),南,152
Suède,(n.pr.f.),瑞典,152
suédois,(n.m.),瑞典语,154
"suédois, e",(adj. et n.),"瑞典的、瑞典人",154
suivre,(v.t.),"遵守、顺着...走、跟随","50, 172, 200"
sujet,(n.m.),"主题、话题",126
"super, adj.",inv.,卓越的,28
super,(n.m.),高辛烷汽油,178
supermarché,(n.m.),超市,90
sur,(prép.),在...上面,46
"sûr, e",(adj.),"确信的、有把握的","36, 112"
"surpris, e",(adj.),吃惊的,24
surprise,(n.f.),惊讶,24
sympathique,(adj.),给人好感的,28
table,(n.f.),桌子,72
tableau,(n.m.),"画、图表","72, 208"
table basse,(n.f.),茶几,72
tablette de chocolat,(n.f.),板巧克力,96
taille,(n.f.),尺寸,66
taille-crayon,(n.m.),卷笔刀,82
tailleur,(n.m.),女式西服,62
talent,(n.m.),才能,206
talon,(n.m.),鞋跟,64
tante,(n.f.),"伯母、婶、姨、舅母",14
tapis,(n.m.),地毯,72
tard,(adv.),"晚、迟","8, 112"
tarte au citron,(n.f.),柠檬塔,92
tarte aux pommes,(n.f.),苹果塔,92
tartine,(n.f.),面包片,102
tasse,(n.f.),带把的杯子,102
taxe,(n.f.),商品税,148
"technicien, ne",(n.),技术员,124
télécommunications,(n.f.pl.),电信行业,126
téléfilm,(n.m.),电视片,132
téléphone mobile = un portable,,手机,
télévision,(n.f.),电视,78
temp(s),(n.m.),"时间、天气","112, 160"
tempête,(n.f.),风暴,162
tempon de la poste,(n.m.),邮戳,146
temps libre,(n.m.),空余时间,196
temps magnifique,(n.m.),晴朗的天气,160
temps splendide,(n.m.),阳光明媚的天气,160
tenir,(v.t.),"拿着、握着",46
tennis,(n.m.),网球,196
tente,(n.f.),帐篷,188
terminaison,(n.f.),词尾,126
terrain,(n.m.),场地,198
Terre,(n.pr.f.),地球,152
terrible,(adj.),可怕的,6
tête,(n.f.),头,44
TGV,(n.m.),高速火车,180
théâtre,(n.m.),"剧院、戏剧",206
théière,(n.f.),茶壶,102
thon,(n.m.),金枪鱼,88
ticket,(n.m.),凭条,138
tickets de bus ou de métro,(n.m.pl.),地铁或汽车票,82
timbre,(n.m.),邮票,146
tire-bouchon,(n.m.),起子,102
tissu,(n.m.),布,62
toi,(pron.),你,2
toilette,(n.f.pl.),洗漱,80
toilettes,(n.f.pl.),卫生间,70
toit,(n.m.),房顶,70
"tolérant, e",(adj.),宽容的,30
tomate,(n.f.),西红柿,86
tomber,(v.i.),摔倒,46
tomber amoureux,,陷入情网,20
tonnerre,(n.m.),雷,162
tôt,(adv.),早,112
total,(n.m.),(几件物品的)总价,98
tourisme,(n.m.),旅游,188
tournesol,(n.m.),葵花,90
"tous, toutes",(adj. ind.),"所有的、全部的",6
"tous, toutes",(pron. indéf.),所有的(人),118
