Word,Type,Meaning,Page
décor,(n.m.),"装饰、环境",192
décoration,(n.f.),"装饰、装潢",106
découper,(v.t.),"切、割、剪开",188
découvert,(n.m.),透支金额,170
découvrir,(v.t.),发现,228
décrire,(v.t.),描写,134
décrocher,(v.t.),"拿起(听筒)、使脱钩",142
"déçu, e",(adj.),失望的,150
défaire,(v.t.),"打开、解开",226
défaite,(n.f.),失败,202
défaut,(n.m.),"缺点、缺陷",162
définitivement,(adv.),"最终地、决定地",134
dégager (se),(v.pron.),"脱身、摆脱",48
"dégarni, e",(adj.),"脱发的、秃顶的",88
dégrader (se),(v.pron.),"变坏、恶化",46
déguster,(v.t.),品尝,192
dehors,(n.m.),"外面、郊外",200
déjeuner,(n.m.),"午餐、午饭","190, 47"
"délicat, e",(adj.),"微妙的、细腻的","6, 118"
délice,(n.m.),"快乐、高兴、乐融融",194
"délicieux, se",(adj.),美味的,194
demain,(adv.),明天,26
"démaquillant, e",(adj.),卸妆的,116
démarrer,(v.t.),"启动、开启；开始",216
déménager,(v.t.),"搬家、搬迁",108
déménageur,(n.m.),"搬家公司的人、替人搬家的人",108
demi-frère,(n.m.),同父异母或同母异父兄弟,26
demi-livre,(n.f.),半市斤,182
demi-saison,(n.f.),春秋季,99
demi-sœur,(n.f.),同父异母或同母异父姐妹,26
dent,(n.f.),牙齿,74
dentelle,(n.f.),花边,93
dentifrice,(n.f.),牙膏,116
dépasser,(v.t.),超过,218
dépayser,(v.t.),"使变换环境；使不自在",228
dépêcher (se),(v.pron.),"赶紧、赶快",114
dépendre,(v.t.),"(依赖)...、取决于...",122
dépendre de,(v.t.),取决于......,6
dépense,(n.f.),"开支、支出",172
dépenser,(v.t.),"花费、耗费","54, 168"
"dépensier, ère",(adj.),"爱花钱的、乱花钱的",172
déplacer (se),(v.pron.),"移动、挪动、走动",66
déplacer,(v.t.),移动,"140, 224"
dépliant,(n.m.),折叠式的印刷品,224
déposer,(v.t.),"储存、寄放",172
dérangement,(n.m.),"弄乱、混乱、故障",142
"dernier, ère",(adj.),"最近的、最后的",34
désagréable,(adj.),"令人不愉快的、不舒服的",46
"descendant, e",(adj.),"降低的、下行的",54
descendre,(v.i.),下降,54
désert,(n.m.),沙漠,17
désigner,(v.t.),"指定、任命；指明、表示",132
"désolé, e",(adj.),"感到遗憾的、感到抱歉的",150
désordre,(n.m.),"混乱、杂乱",104
dessert,(n.m.),甜点,190
dessinateur,(n.m.),绘图员,133
dessous-de-plat,(n.m.),菜盘垫子,190
dessus,(n.m.),上面,75
dessus-de-lit,(n.m.),床罩,104
destination,(n.f.),"目的地、终点",212
détendre (se),(v.pron.),"轻松、放松、缓和",228
détenir,(v.t.),保持,202
détester,(v.t.),"厌恶、憎恶","26, 127"
dette,(n.f.),债务,170
deuil,(n.m.),"居丧、悲哀",28
deux-roues,(n.f. pl.),两轮车的统称,216
développer,(v.t.),"发展、发挥、说明",156
devinette,(n.f.),谜语,53
devis,(n.m.),"工程概算单、估价单",108
devoir,(n.m.),作业,128
dictée,(n.f.),听写,126
diesel,(n.m.),柴油,216
"différent, e",(adj.),不同的,166
digérer,(v.t.),消化,76
digestif,(n.m.),"餐后酒、助消化酒",176
"digestif, ve",(adj.),助消化的,76
digestion,(n.f.),消化,76
Dijon,,第戎,13
dinde,(n.f.),火鸡,176
dîner,(n.m.),晚餐,190
dîner,(v.i.),吃晚饭,114
diplôme,(n.m.),"文化、学位证书",122
"direct, e",(adj.),直接的,214
direction,(n.f.),方向,214
discipline,(n.f.),"科目、课程","126, 204"
discothèque,(n.f.),迪斯科舞厅,200
"discret, ète",(adj.),"(言行)谨慎的、慎重的、拘谨的",108
discussion,(n.f.),讨论,154
discuter,(v.t.),讨论,154
disparaître,(v.i.),消失,54
disponible,(adj.),"可(自由)处理的、可(随时)使用的",133
dispute,(n.f.),"吵架、争执",26
disputer (se),(v.pron.),"吵架、争执",26
disputer,(v.t.),"比赛、竞赛",202
disque,(n.f.),"磁盘、唱片",140
disquette,(n.f.),软盘,140
distraction,(n.f.),"消遣、娱乐",194
"distrait, e",(adj.),"分心的、漫不经心的","128, 160"
distributeur,(n.m.),"自动售货机、自动售票机",168
divan,(n.m.),"(无靠背、无扶手的)长沙发",104
divorce,(n.m.),离婚,26
divorcer,(v.i.),离婚,26
dizaine,(n.f.),十来个,182
Djibouti,,吉布提,10
doigt,(n.m.),"手指、足趾",74
dollar,(n.m.),"美元、澳元、加元、港元",170
domestique,(adj.),"家养的、驯养的；家庭的、家内的",66
domicile,(n.m.),"住所、寓所",180
"dominant, e",(adj.),"统治的、主要的",126
dommage,(n.m.),"损害、损失；可惜、遗憾",150
donnée,(n.f.),"数据、资料",140
Dordogne,(n.f.),多尔多涅(省),12
dormir,(v.i.),睡觉,56
dos,(n.m.),背脊,226
dossier,(n.m.),"档案袋、档案夹、卷宗、(计算机中的)文件夹","140, 178"
douane,(n.f.),海关,224
double,(n.m.),"双重的、两倍的",224
doubler,(v.t.),超车,218
douceur,(n.f.),"甜味；温和、文雅、温柔",70
douche,(n.f.),淋浴,49
"doué, e",(adj.),"有才能的、有天赋的","128, 160"
"doux, ce",(adj.),"温和、温柔",46
douzaine,(n.f.),"一打、十二个",182
draguer,(v.t.),"勾引、调情、献殷情",24
dragueur,(n.m.),"喜欢调情的人、喜欢勾引的人",24
dramatique,(adj.),"悲剧性的、悲惨的",48
drap,(n.m.),"床单、被单",104
droit,(adv.),"笔直地、垂直地、径直地",218
droit,(n.m.),法律,126
"droit, e",(adj.),笔直的,92
drôle,(adj.),"滑稽的、好笑的、有趣的",162
"dur, e",(adj.),"硬的、坚硬的；困难的、严峻的","140, 194"
dynamique,(adj.),"活跃的、积极的",162
eau,(n.f.),水,54
eau de toilette,(n.f.),(介于香精与花露水之间的)香水,116
échanger,(v.t.),"交换、互换","24, 188"
écharpe,(n.f.),"长围巾、披巾",96
échecs,(n.m. pl.),国际象棋,200
échouer,(v.i.),"失败、未实现",128
éclair,(n.m.),闪电,48
éclaircie,(n.f.),"(云雾中)一线晴天、(阴雨天的)暂时晴朗",48
éclat,(n.m.),"光辉；(炸成的)碎片",28
éclater,(v.i.),"爆发；突然发出巨响",28
écolier,(n.m.),小学生,122
économie,(n.f.),经济,126
économiser,(v.t.),"积蓄、积累",170
"écossais, e",(adj.),格子花呢的,94
écouter,(v.t.),"听；听取、听从",78
écran,(n.m.),"屏幕、银幕",140
écriture,(n.f.),"书写、字体",127
écrivain,(n.m.),作家,132
édredon,(n.m.),鸭绒压脚被,104
éducatrice,(n.f.),教育工作者,137
"effacé, e",(adj.),"退让的、不爱表现的、平凡的",127
effacer,(v.t.),"擦去、抹掉","125, 140"
église,(n.f.),教堂,24
égoïsme,(n.m.),自私,162
Égypte,(n.f.),埃及,13
élastique,(adj.),有弹性的,94
élection,(n.f.),选举,81
"électricien, ne",(n.),电工,133
électrique,(adj.),电的,104
électro-ménager,(n.m.),家用电器,188
électrophone,(n.m.),唱机,144
"élégant, e",(adj.),"漂亮的、高雅的",88
éléphant,(n.m.),象,70
éleveur,(n.m.),"饲养员、饲养牲畜的人",66
élire,(v.t.),选举,61
emballer,(v.t.),"包扎、打包、装箱",180
embarquer,(v.t.),"上船、登机、上火车",214
embouteillage,(n.m.),"交通堵塞、堵车",218
embrasser (s'),(v.pron.),"亲吻、接吻",2
émission,(n.f.),节目,144
emménager,(v.i.),迁入新居,108
emmener,(v.t.),带走(人),200
émotion,(n.f.),"激动、冲动",28
emphatique,(adj.),夸张的,160
employé,(n.m.),职员,134
emprunt,(n.m.),"借入、借贷",170
emprunter,(v.t.),借入,170
éprouver,(v.t.),感到,29
"épuisé, e",(adj.),"疲惫不堪的、精疲力竭的",80
équateur,(n.m.),赤道,52
"équilibré, e",(adj.),"平衡的、均衡的",162
équipage,(n.m.),"全体乘务员、全体船员、机组",214
équipe,(n.f.),"小组、队",204
"équipé, e",(adj.),配备的,104
équitation,(n.f.),驾车,204
équivalent,(n.m.),"同等、对等、相等","224, 86"
erreur,(n.f.),"错误、过失",152
escalade,(n.f.),攀登,206
escale,(n.f.),"中途着陆、中途停靠",228
escalier,(n.m.),楼梯,102
escalope,(n.f.),"肉片、鱼片(通常是比较大的)",176
escargot,(n.m.),蜗牛,68
escarpin,(n.m.),薄底高跟皮鞋,94
espèces,(n.f. pl.),现金,166
essayage,(n.m.),"(服饰)试样、试衣",98
essayer,(v.t.),尝试,98
essence,(n.f.),汽油,216
"essentiel, le",(adj.),"基本的、主要的",46
essuyer (s'),(v.pron.),"擦干、擦净",116
essuyer,(v.t.),"擦、揩",114
est,(n.m.),"东、东方",52
esthéticienne,(n.f.),美容师,133
estimation,(n.f.),"估价、估计、估算",108
estomac,(n.m.),胃,76
estragon,(n.m.),龙蒿,176
estuaire,(n.m.),(受涨、落潮影响的)江河口,54
établir,(v.t.),建立,171
établissement,(n.m.),机构,168
étage,(n.m.),"层、楼层",102
étagère,(n.f.),"搁板、架子",106
état,(n.m.),"国家、状态",48
été,(n.m.),夏季,34
éteindre,(v.t.),"熄灭、关机",140
étendre,(v.t.),"铺开、展开",118
"étendu, e",(adj.),"宽广的、广阔的",54
éternuer,(v.t.),打喷嚏,6
étiquette,(n.f.),"标签、签条",180
étoile,(n.f.),"星、星星",52
"étoilé, e",(adj.),布满星星的、星光灿烂的,54
être muni de,(v.),"配备、拥有",10
étude,(n.f.),"事务所、办公楼",135
"étudiant, e",(n.),大学生,122
"eurasien, ne",(adj.),"欧亚大陆的、欧洲人与亚洲人的混血儿",14
euro,(n.m.),欧元,166
éventuellement,(adv.),"可能、或许、如有必要",190
"évident, e",(adj.),明显的,38
évier,(n.m.),"洗碗池、水斗",104
éviter,(v.t.),避免,192
examen,(n.m.),考试,122
"excellent, e",(adj.),"出色的、精彩的",128
"exceptionnel, le",(adj.),"杰出的、非凡的、了不起的",160
exclusivement,(adv.),"专心地、唯一地",94
excursion,(n.f.),"远足、游览",228
excuser,(v.t.),原谅,154
ex-femme,(n.f.),前妻,26
"exigeant, e",(adj.),"苛刻的、要求高的",128
exilé,(n.m.),"流放者、流亡者",14
ex-mari,(n.m.),前夫,26
exotique,(adj.),"外国的、异国情调的",11
"expérimenté, e",(adj.),有经验的,133
explication,(n.f.),解释,154
express,(n.m.),"蒸馏咖啡、浓缩咖啡",192
"exquis, e",(adj.),"精美的、精致的",194
extraordinaire,(adj.),"特别的、奇特的",160
"fabuleux, se",(adj.),"神奇的、令人惊异的",160
fac,(n.f.),(大学的)系,25
facture,(n.f.),发票,142
faculté,(n.f.),(大学的)分科、系,122
fade,(adj.),"平淡的、无味的",194
faim,(n.f.),饥饿,80
faire-part,(n.m.),"喜帖、讣闻",24
falaise,(n.f.),(海岸的)峭壁、绝壁,54
"fameux, se",(adj.),著名的,194
"familial, e, -aux",(adj.),"家庭的、家族的",18
faner (se),(v.pron.),"枯萎、凋谢",60
fantastique,(adj.),"奇异的、令人难以置信的",160
farine,(n.f.),面粉,189
"fatigué, e",(adj.),疲劳的,80
"fatigué, e",(adj.),"疲劳的、累的","4, 80"
"fauché, e",(adj.),"没钱的、身无分文的",172
faute,(n.f.),"错误、过失",128
fauteuil,(n.m.),扶手椅,104
"faux, sse",(adj.),假的,88
"favori, ite",(adj.),"偏爱的、心爱的",188
fax,(n.m.),传真,142
faxer,(v.t.),发传真,142
félicitation,(n.f.),祝贺,6
femme,(n.f.),"妻子、女人",18
"férié, e",(adj.),"节日的、节庆的",34
ferme,(n.f.),农庄,56
"fermier, ère",(n.),"农场主、农民",134
féroce,(adj.),"凶残的、残忍的",70
fesse,(n.f.),"臀部、屁股",74
fête,(n.f.),节日,"24, 202"
feu,(n.m.),火,176
feuille,(n.f.),"叶、树叶、花瓣",60
feutre,(n.m.),水笔,124
feux d'artifice,(n.m. pl.),焰火,35
février,(n.m.),二月,34
fiche-horaire,(n.f.),"时间表、时刻表",212
fichier,(n.m.),"文件、数据集",140
figure,(n.f.),脸,78
fil,(n.m.),"线、导线、电话线",142
filet,(n.m.),"网、球网",204
fille,(n.f.),女儿,18
fils,(n.m.),儿子,18
fin,(n.f.),"结束、尽头",36
"fin, e",(adj.),"精细的、细腻的",78
finalement,(adv.),"最后地、最终地",151
finlande,(n.f.),芬兰,13
finnois,(n.m.),芬兰语,13
"fiscal, e, -aux",(adj.),"税收的、税务的",178
fixe,(adj.),"不变的、稳定的",46
flacon,(n.m.),"小瓶、小瓶的容量",180
"flambé, e",(adj.),火烧的,195
flanc,(n.m.),"侧翼、肋部",56
fleur,(n.f.),花,60
fleurir,(v.i.),开花,60
fleuriste,(n.),"种花的人、卖花的人",134
fleuve,(n.m.),(通往大海的)江、河、川,48
foie,(n.f.),肝,76
fonctionnaire,(n.),"公职人员、公务员",134
fond,(n.m.),"底部、原本耐力",206
fondre,(v.t.),融化,28
football,(n.m.),足球,204
force,(n.f.),"力量、力",70
forêt,(n.f.),"林、森林",56
forfaitaire,(adj.),"承包的、统包的",224
formalité,(n.f.),"手续、程序",224
forme,(n.f.),"形状、外表、身体或精神状态","80, 98"
formidable,(adj.),"极好的、出色的",160
formulaire,(n.m.),表格,170
formule,(n.f.),"表达法、措辞、惯用语、格式、公式",46
"fortuné, e",(adj.),"有钱的、有财产的",172
"fou, fol, folle",(adj.),疯狂的,26
foudre,(n.f.),"雷电、霹雳",24
fouet,(n.m.),"鞭子、打蛋机",188
foulard,(n.m.),"绸巾、丝巾、头巾",96
foule,(n.f.),人群,214
four,(n.m.),"烤炉、烤箱",104
fourmi,(n.m.),蚂蚁,68
fourrure,(n.f.),"毛皮、皮衣",94
fragile,(adj.),"脆弱的、虚弱的",76
"frais, fraîche",(adj.),"新鲜的、凉爽的","46, 178"
fraise,(n.f.),草莓,62
framboise,(n.f.),覆盆子,62
franc,(n.m.),法郎,166
franchement,(adv.),"坦率地、直截地",162
frange,(n.f.),"丝绦、流苏、短发",88
frein,(n.m.),刹车,216
freiner,(v.i.),刹车,216
frère,(n.m.),兄弟,18
frères jumeaux,(n.m.),孪生兄弟,20
frigo,(n.m.),电冰箱,"104, 191"
Word,Type,Meaning,Page
"frisé, e",(adj.),"卷曲的、卷起的",88
"froid, e",(adj.),"冷的、寒冷的；冷淡的、冷冰冰的","46, 162"
fromage,(n.m.),奶酪,"66, 176"
fromagerie,(n.f.),"奶酪厂、奶酪店",176
froncer,(v.t.),"皱、蹙",75
front,(n.m.),前额,74
frontière,(n.f.),"国境、边境",224
frotter,(v.t.),"擦、摩擦",106
fruit,(n.m.),"果实、水果、成果",62
fruitier,(adj.),结果子的,62
fuir,(v.i.),"逃跑、躲避",15
fuite,(n.f.),"漏、泄漏、流失",106
"fumé, e",(adj.),"烟熏的、熏制的",176
"fumeur, se",(n.),"吸烟者、抽烟的人",212
gagner,(v.t.),"挣得、赢得",172
"gai, e",(adj.),快乐,28
galet,(n.m.),卵石,54
gant,(n.f.),手套,96
garage,(n.m.),车库,104
garagiste,(n.m.),"汽车维修店主人、汽车修理铺经营者",216
garantie,(n.f.),"保证、担保",108
garçon,(n.m.),男孩,21
Gard,(n.m.),加尔(省),12
garde,(n.f.),"监狱(小房子)、守卫、值班室",27
gardien,(n.m.),"守门员、门卫","102, 136, 204"
gare,(n.f.),火车站,212
garer,(v.t.),停车,218
gasoil,(n.m.),"粗柴油、重质油",216
gastronome,(adj.),美食的,192
gâteau,(n.m.),"糕点、甜点、点心","79, 176"
gaz,(n.m.),"气体、煤气、天然气",104
gazon,(n.m.),"细草、草地、草坪",60
geler,(v.t.),"冰冻、结冰",48
gendre,(n.m.),女婿,18
"général, e",(adj.),"总体的、一般的",74
"généreux, se",(adj.),"慷慨的、宽宏大量的、大度的","78, 161"
générosité,(n.f.),"慷慨、宽厚",161
"génial, e",(adj.),"天才的、才华横溢的",160
genou,(n.m.),膝盖,74
"gentil, le",(adj.),"可爱的、讨人喜欢的、亲切的、和蔼的",66
gentillesse,(n.f.),"亲切、和蔼、客气",161
géographie,(n.f.),地理学,126
géographique,(adj.),地理的,14
géranium,(n.m.),"老鹳草、天竺葵",60
gerbe,(n.f.),花束,28
geste,(n.m.),"动作、姿势、举止",160
gibier,(n.m.),野味,68
gigot,(n.m.),羊腿,176
gilet,(n.m.),"背心、坎肩",92
gin,(n.m.),"杜松子酒、金酒",175
girafe,(n.f.),长颈鹿,70
givre,(n.m.),霜,48
glace,(n.f.),"冰激凌、镜子、冰","48, 116, 176"
glaçon,(n.m.),"冰块、小冰块",49
globe,(n.m.),"球、球体；地球",52
gomme,(n.f.),橡皮,124
"gourmand, e",(adj.),"爱吃佳肴的、贪吃美食的",188
goût,(n.m.),味觉,78
goûter,(n.m.),(下午吃的)点心,190
goûter,(v.t.),品尝,78
goutte,(n.f.),"滴、一点儿",48
gradin,(n.m.),阶梯座位,204
grain,(n.m.),"颗粒、谷子",88
grammaire,(n.f.),语法,126
grandir,(v.i.),"成长、变大",20
grand-mère,(n.f.),"祖母；外祖母",18
grand-père,(n.m.),"祖父；外祖父",18
grands-parents,(n.m. pl.),"祖父母；外祖父母",18
grappe,(n.f.),"串、束",62
"gratuit, e",(adj.),免费的,"122, 218"
grêler,(v.),下冰雹,48
grenier,(n.m.),"阁楼、顶楼",102
grenouille,(n.f.),蛙,68
griffer,(v.t.),"抓、划破",66
grille-pain,(n.m.),烤面包机,188
"gris, e",(adj. et adv.),"灰色；阴沉",46
gris-vert,(adj.),绿灰色的,88
"gros, sse",(adj.),"胖的、厚的、粗的",84
grossir,(v.i.),"变粗、变胖",85
Guatemala,(n.m.),危地马拉,14
guêpe,(n.f.),胡蜂,68
guichet,(n.m.),"营业窗口、售票口",170
guide,(n.m.),"向导、导游",228
gym,(n.f.),体操,76
gymnase,(n.m.),体操馆,"124, 206"
gymnastique,(n.f.),体操,"84, 206"
habiter,(v.i.),"居住、住所",108
"haché, e",(adj.),"切细的、剁碎的",176
haine,(n.f.),仇恨,26
haïr,(v.t.),仇恨,26
hall,(n.m.),大厅,214
hameau,(n.m.),"小村庄、农舍群",56
hanche,(n.f.),"臀部；髋关节",74
hand-ball,(n.m.),手球,204
haricot,(n.m.),"菜豆、豇豆、刀豆",62
hasard,(n.m.),偶然,78
hausser,(v.t.),"提高、抬高",75
"haut, e",(adj.),高的,54
hauteur,(n.f.),高度,204
haut-parleur,(n.m.),"扬声器、喇叭",144
hebdomadaire,(adj.),"周周的、每星期的",178
hébreu,(n.m.),希伯来语,13
hémisphère,(n.m.),半球,52
herbe,(n.f.),草,176
heure,(n.f.),"点钟；小时",34
"heureux, se",(adj.),"幸福的、快乐",66
hi-fi,(n.f.),"高保真音响(设备)、立体声音响(设备)",144
hindi,(n.m.),印度语,13
hippique,(adj.),"马的、赛马的",204
hirondelle,(n.f.),燕子,70
histoire,(n.f.),历史,126
hiver,(n.m.),冬季,34
"hollandais, e",(adj. et n.),荷兰的,61
homard,(n.m.),"龙虾、螯虾",176
Honduras,(n.m.),洪都拉斯,13
honneur,(n.m.),"尊严、名誉、敬意",108
honoraires,(n.m.pl.),(医生、律师等)自由职业者的酬金,172
hôpital,(n.m.),医院,134
horaire,(adj.),时间的,36
horaire,(n.m.),"作息时间表、(工作)时间表",137
horreur,(n.f.),"恐惧、厌恶",84
"hôtelier, ère",(n.),"旅馆老板、客栈主人",224
"hôtesse, n.f.",,"女接待员、女招待员、女服务员",132
housse,(n.f.),"(保护家具、衣物等的)罩、套、罩子、帆布面",104
huile,(n.m.),油,54
huître,(n.f.),"牡蛎；蜗牛",176
"humain, e",(adj.),"人的、人类的",74
humeur,(n.f.),"情绪、性格",4
humide,(adj.),"潮湿的、湿润的",46
humour,(n.m.),"幽默、诙谐",160
hypocrite,(adj.),"虚伪的、伪善的",162
idée,(n.f.),"想法、念头、主意",25
identité,(n.f.),身份,168
"idiot, e",(adj.),"门痴的、傻的",160
île,(n.f.),"岛、岛屿",52
immangeable,(adj.),"不能食用的、难吃的",194
immédiatement,(adv.),"立即、即刻",133
immense,(adj.),巨大的,"11, 84"
immeuble,(n.m.),"房屋、大楼、大厦",102
immigré,(n.m.),入境移民,14
"immobilier, ère",(adj.),"不动的、房产的",108
imperméable,(n.m.),雨衣,92
"impoli, e",(adj.),无礼的,2
impôt,(n.m.),"税、税收",172
imprimante,(n.f.),打印机,140
imprimé,(n.m.),印花布,94
"imprimé, e",(adj.),印花的,94
imprimer,(v.t.),印刷,140
inca,(adj. inv.),"印加的；印加人",11
"incertain, e",(adj.),"易变的、拿不准的",46
incinération,(n.f.),火化,28
incinérer,(v.t.),火化,28
incroyable,(adj.),难以置信的,161
"indépendant, e",(adj.),"独立的、单独的、不受约束的",162
"indicatif, ve",(adj.),"指示的、表示的",142
indication,(n.f.),指示,21
"indien, ne",(adj.),"印度的、印第安的；印度人、印第安人","10, 200"
indifférence,(n.f.),"冷漠、无动于衷",28
"indifférent, e",(adj.),"无动于衷、不感兴趣",28
"indiscipliné, e",(adj.),不守纪律的,128
"inférieur, e",(adj.),下级的,74
"infirmier, e",(n.),护士,"36, 133"
"informaticien, ne",(n.),"电脑专家、信息处理专家、计算专家",140
informatique,(adj.),"信息学的、计算技术的",133
informatiser,(v.t.),"用电脑处理、便信息化",140
infusion,(n.f.),"泡制；浸剂",192
ingénieur,(n.m.),工程师,132
inondation,(n.f.),"淹没、水灾、洪水",48
inonder,(v.t.),淹没,48
insecte,(n.m.),昆虫,68
insister,(v.i.),"强调、坚持",132
"inspecteur, n.m.",(n.),"视察员、检查员",135
installer (s'),(v.pron.),定居,56
installer,(v.t.),"树立、建立",224
"instituteur, trice",(n.),小学教师,122
"insultant, e",(adj.),侮辱性的,2
insupportable,(adj.),"难以忍受的、讨厌的",46
intellectuel,(n.),知识分子,134
intelligence,(n.f.),智慧,76
"intelligent, e",(adj.),"聪明的、机敏的",160
intention,(n.f.),"意图、打算、目的",96
"interdit, e",(adj.),禁止的,218
intéresser (s'),(v.pron.),对...感兴趣,21
intérêt,(n.m.),利息,170
intérieur,(n.m.),内部,2
interphone,(n.m.),"内线电话、对讲电话",102
interprète,(n.),"译员、口译者",132
interroger,(v.t.),"询问、查证、提问、盘问","128, 140"
interrompre,(v.t.),"中断、打断",156
intervenir,(v.i.),"介入、参与、干涉",156
intestin,(n.m.),肠,76
introduire,(v.t.),"引进、放入",140
intrus,(n.m.),"擅自闯入者、入侵者",27
inverse,(n.m.),"相反的事、反面",132
inviter,(v.t.),邀请,150
Iran,(n.m.),伊朗,13
"irrégulier, ère",(adj.),"不规则的、无规律的；不稳定的",137
"islandais, e",(adj.),"冰岛的；冰岛人",10
Israël,,以色列,13
itinéraire,(n.f.),"线路、路线",224
oral,(n.m.),"口头、口试",128
orange,(n.f.),"柑、橘、橙",62
oranger,(n.m.),橘树,62
orchestre,(n.m.),交响乐队,29
ordinateur,(n.m.),"电脑、计算机",140
ordonnance,(n.f.),"药方、处方",178
ordre,(n.m.),接受支票、商业票据的指定人,168
ordure,(n.f.),垃圾,104
oreille,(n.f.),耳朵,62
oreiller,(n.m.),枕头,104
organe,(n.m.),器官,76
"organisé, e",(adj.),组织的,228
originaire,(adj.),"原产于...、出生于...",14
"orphelin, e",(n.),孤儿,28
orteil,(n.m.),脚趾,62
orthographe,(n.f.),"正字法、写法",126
os,(n.m.),骨,62
ouest,(n.m.),"西、西方",52
ouïe,(n.f.),听觉,78
ouragan,(n.m.),飓风(风速每小时超过116公里),48
ours,(n.m.),熊,70
outil,(n.m.),工具,"62, 104"
"ouvert, e",(adj.),"公开的、开放的、开朗的",162
ouvre-boîte,(n.m.),"开罐头的刀、开瓶刀",188
"ouvrier, ère",(n.),工人,134
paiement,(n.m.),"支付、付款",166
paire,(n.f.),"一双、一对",94
paix,(n.f.),和平,70
pâle,(adj.),苍白的,84
palier,(n.m.),楼梯平台,102
pamplemousse,(n.f. ou n.m.),柚子,62
panier,(n.m.),"篮、筐",180
panne,(n.f.),故障,"102, 216"
panoplie,(n.f.),全副铠甲,200
pantalon,(n.m.),"裤子、长裤",92
pantoufle,(n.f.),拖鞋,178
pape,(n.m.),教皇,162
papeterie,(n.f.),"文具店、造纸厂",178
papier,(n.m.),纸,102
papillon,(n.m.),蝴蝶,68
paquet,(n.m.),"包、捆、束",180
paquet-cadeau,(n.m.),礼品包装袋,180
paraître,(v.i.),"显现、出现",86
parapluie,(n.m.),雨伞,96
parasol,(n.m.),阳伞,226
parcmètre,(n.m.),计时收费停车器,218
parcourir,(v.i.),"跑遍、走遍",228
par-dessus,(loc. prép.),在...上面,78
parent éloigné,(n.m.),远亲,20
parent proche,(n.m.),近亲,20
parents,(n.m. pl.),"父母、双亲",18
"paresseux, se",(adj.),懒惰的,"128, 160"
parfois,(adv.),"有时、有时",2
parfumer (se),(v.pron.),"口洒香水",116
parking,(n.m.),停车场,218
parole,(n.f.),"话、语言",71, 154
parquet,(n.m.),"地板、镶木地板",106
partager,(v.pron.),"分、分配",172
parterre,(n.f.),"花坛、花圃",60
participer,(v.t.),参加,204
partie,(n.f.),"活动、游戏、做、一部分、局部","76, 200"
passage,(n.m.),"通过、过道",212
passager,(ère (n.)),"乘客、旅客",214
passeport,(n.m.),护照,224
passer (se),(v.pron.),发生、举行,28
"passif, ve",(adj.),"被动的、消极的、缺乏活力的",128
passion,(n.f.),激情,24
passoire,(n.f.),"滤器、漏勺、滤锅",188
pastis,(n.m.),茴香酒,176
pâte,(n.f.),"面条、面团",11
pâté,(n.m.),"肉酱(猪肉馅饼、兔肉或猪肉)",176
patience,(n.f.),耐心,160
patient,(e (adj.)),"有耐性的、能忍耐的",160
patienter,(v.i.),"忍受等待",152
patin,(n.m.),溜冰鞋,206
patinage,(n.m.),滑冰,206
patineur,(n.m.),溜冰者,206
patinoire,(n.m.),溜冰场,206
pâtisserie,(n.f.),糕点,176
pâtissier,(ère (n.)),糕点师,176
patron,(ne (n.)),老板,134
patte,(n.f.),爪子,66
payant,(e (adj.)),收费的,"122, 218"
payer,(v.t.),"付、支付",108
péage,(n.m.),收费口,218
peau,(n.f. ),皮肤,"71, 76"
pêche,(n.f.),桃子,62
pêcher,(n.m.),桃树,62
pédale,(n.f.),"踏板、脚蹬",216
pédaler,(v.i.),"蹬自行车、骑自行车",204
peigne,(n.m.),梳子,116
peigner (se),(v. (b)),"梳头",116
peignoir,(n.m.),浴袍,92
peine,(n.f.),"担心、操心、痛苦、痛苦",28, 150
"peint, e",(adj.),"上了颜色的、有色的",102
pellicule,(n.f.),胶卷,224
pelouse,(n.f.),"草地、草坪",207
pendant,(prép.),在......时间内,21
pendant que,(loc. conj.),当......时,114
penderie,(n.f.),挂衣服的壁橱或小室,104
pendre,(v.t. ),"挂、悬挂",108
pensée,(n.f.),思想,76
penser,(v.i.),思想,76
pension,(n.f.),"养老金、补助金",134
pente,(n.f.),"斜坡、山坡",56
percevoir,(v.t.),"征收、收取",172
perdre,(v.t.),"丧失、丢、遗失","28, 76"
père,(n.m.),父亲,18
perfectionner (v.t.),"完善、改进",135
"perforé, e",(adj.),打孔的,124
Périgord,(n.m.),佩里戈尔(旧地区名),12
périphérie,(n.f.),"城市的外围、市郊",180
"permanent, e",(adj.),"长期的、永久的",140
permanente,(n.f.),烫发,176
permettre,(v.t.),允许,4
permis,(n.m.),"证书、许可证、执照",216
perroquet,(n.m.),鹦鹉,70
persan,(n.m.),波斯语,106
persil,(n.m.),香芹,176
personnalité,(n.f.),性格特点,160
personne âgée,(n.f.),老年人,20
peser,(v.t.),称、过磅,84
peseta,(n.m.),比塞塔(西班牙货币单位),170
petite-fille,(n.f.),"孙女、外孙女",18
petit-enfant,(n.m.),小孩子,18
petit-fils,(n.m.),"孙子、外孙",18
peut-être,(adv.),也许,190
phare,(n.m.),"灯塔、(汽车的)头灯、大灯",216
"pharmacien, ne",(n.),"药剂师、药剂员、药店老板",178
philosophie,(n.f.),哲学,126
