Word,Type,Meaning,Page
atterrissage,(n.m.),降落,214
attirer,(v.t.),"吸引、招引、引诱",86
attraper,(v.t.),"抓住、逮住",66
attrister,(v.t.),"使悲伤、使伤心",28
auberge,(n.f.),"乡村客栈、小旅店",224
aubergine,(n.f.),茄子,62
audio,(adj.),"音频的、声音的",144
augmenter,(v.t.),"增加、提高",156
australien,(ne (adj.)),"澳大利亚的、澳大利亚人",14
automatique,(adj.),自动的,168
automne,(n.m.),秋季,34
automobile,(adj.),汽车的,204
autoritaire,(adj.),"专制的、独裁的、蛮横的","128, 162"
autoroute,(n.f.),高速公路,218
auto-stop,(n.m.),搭顺风车,224
autour de,(loc. prép.),围绕,52
autrichien,(ne (adj.)),"奥地利的、奥地利人",10
aval,(n.m.),(河流的)下游、下方,54
avalanche,(n.f.),雪崩,56
avance,(n.f.),提前,61
avancer,(v.i.),前进,216
avare,(adj.),"吝啬的、贪财的",172
avenue,(n.f.),"林荫道、大道",218
averse,(n.f.),"大雨、骤雨",48
aveugle,(adj.),失明的,78
avion,(n.m.),飞机,"54, 214"
avis,(n.m.),见解、看法,156
avocat,(e (n.)),律师,132
avoir lieu,(v.),发生,34
avril,(n.m.),四月,34
baccalauréat,(n.m.),中学毕业会考,122
bagage,(n.m.),行李,226
bague,(n.f.),戒指,96
baguette,(n.f.),法式长棍面包,176
baigner (se),(v.pron.),"游泳、洗澡",57
baignoire,(n.f.),"浴缸、澡盆",106
bail,(n.f. ),"租约、租赁契约",108
bain,(n.m.),"洗澡、沐浴","106, 226"
baiser,(v.t.),"吻、接吻","2, 24"
balader (se),(v.pron.),"散步、溜达",200
balai-brosse,(n.m.),擦地刷,118
balance,(n.f.),"天平、磅秤",84
balayer,(v.t.),打扫,118
balcon,(n.m.),阳台,106
balle,(n.f.),球,202
ballon,(n.m.),"球、皮球",204
banane,(n.f.),香蕉,62
bananier,(n.m.),香蕉树,62
bancaire,(adj.),银行的,168
banlieue,(n.f.),郊区,212
barbe,(n.f.),胡须,88
barbu,(e (adj.)),有胡子的,88
Barhein,,巴林,10
barquette,(n.f.),船形的食品包装盒,180
barrette,(n.f.),发夹,88
bas,(n.m.),女式长筒丝袜,94
bas,(se (adj.)),"低的、矮的",54
basané,(e (adj.)),晒黑的,86
basilic,(n.m.),罗勒香草,176
basket,(n.f.),篮球,204
basket-ball,(n.m.),篮球,204
bateau,(n.m.),船,"54, 214"
bâtiment,(n.m.),建筑物,102
battant,(e (adj.)),"敲击的、拍打的",48
battement,(n.m.),"跳动、抖动、拍打",76
batteur,(n.m.),搅拌器,118
battre,(v.t.),"打、打败、打破、跳动","76, 202"
bavard,(e (adj.)),"多嘴的、喜欢闲聊的",162
bavarder,(v.i.),"闲谈、闲聊","128, 154"
Béarn,,贝阿恩（法国旧省名）,12
beau-frère,(n.m.),"姐夫、妹夫、大伯、小叔、内兄、内弟、连襟",18
beau-père,(n.m.),"岳父、公公、继父",18
beauté,(n.f.),"美、优美、美满","133, 86"
beaux-parents,(n.m. pl.),"公婆、岳父母",18
bébé,(n.m.),婴儿,20
belge,(adj.),比利时的,166
belle-fille,(n.f.),"媳妇、儿媳、继女、养女",18
belle-mère,(n.f.),"婆婆、岳母、继母",18
belle-sœur,(n.f.),"嫂子、弟媳、大姑、小姑、大姨、小姨、妯娌",18
bénéfice,(n.m.),利润,156
bermuda,(n.m.),齐膝盖短裤,92
besoin,(n.m.),"需要、需求",80
bête,(adj.),"愚蠢的、傻的",162
bêtise,(n.f.),"愚蠢、蠢事",160
Beur,(n.m. ),在法国的北非移民子女,14
beurré,(e (adj.)),涂上黄油的,190
beurrier,(n.m.),"黄油罐、黄油碟",191
bibelot,(n.m.),"小摆设、小玩意儿",106
bibliothèque,(n.f.),"书架、书柜、图书馆","104, 124"
bière,(n.f.),啤酒,192
bifteck,(n.m.),牛排,176
bijouterie,(n.f.),首饰店、珠宝店,178
bijoutier,(ère (n.)),"首饰匠、首饰珠宝商",178
bilingue,(adj.),"双语的、精通两种语言的",12
billet,(n.m.),"车票、纸币、钞票","212, 166"
biologie,(n.f.),生物学,126
biscuit,(n.m.),饼干,180
bise,(n.f.),"接吻、亲吻、亲昵触脸",2
bisou,(n.m.),"吻、亲吻、亲一下子",2
bistrot,(n.m.),"小酒馆、咖啡馆（主要起源于各客站附近的小旅馆）","190, 194"
blague,(n.f.),玩笑,68
blessé,(n.m.),伤员,79
bleu,(e (adj.)),蓝色的,54
bleu-gris,(adj.),蓝灰色的,88
blond,(e (adj.)),"金黄色的、金栗色的",88
blouson,(n.m.),夹克衫,92
bœuf,(n.m.),"公牛、牛肉",176
bois,(n.m.),"木、木材、树林","106, 57"
boisson,(n.f.),饮料,193
boîte,(n.f.),罐头,68
bol,(n.m.),"碗、一碗之量",190
bonbon,(n.m.),糖果,176
bonnet,(n.m.),"无边软帽、便帽",96
bord,(n.m.),"边缘、岸边、在船上、在飞机上","54, 214"
botte,(n.f.),"捆、扎、把、靴子",180
bottin,(n.m.),电话号码查询簿,142
bouche,(n.f.),嘴,11, 74
bouchon,(n.m.),"瓶塞、车堵、堵车",218
boucle,(n.f.),环、圈,96
bouddhiste,(n.m.),(adj.),"佛教的、佛教徒",11
bouée,(n.f.),"救生圈、浮标、水桶",226
bouger,(v.i.),"动、挪动、移动",76
bouilloire,(n.f.),热水壶,188
"boulanger, ère",(n.),面包师,132
bouquet,(n.m.),花束,60
Bourgogne,(n.f.),勃艮第,12
bouteille,(n.f.),瓶子,104
boxe,(n.f.),拳击,206
boxeur,(n.m.),拳击运动员,206
bracelet,(n.m.),手镯,96
branche,(n.f.),"树枝、分枝",60
brancher,(v.t.),"连接、接上...电源",140
bras,(n.m.),"手臂、胳膊",74
Bretagne,(n.f.),布列塔尼,12
bretelle,(n.f.),"(衣服上用的)背带、吊带",96
bricolage,(n.m.),"修修补补、干零碎活","200, 104"
bricoler,(v.i.),"修修补补、在家干零碎活",200
bricoleur,(n.m.),喜欢在家修修补补的人,102
"bridé, e",(adj.),细长的(眼型),86
brie,(n.m.),布里奶酪,176
"brillant, e",(adj.),"发光的、杰出的",128
briller,(v.i.),"闪光、发亮",52
brioche,(n.f.),奶油大酥饼(布里欧修),176
broche,(n.f.),胸针,96
brochure,(n.f.),小册子,224
bronzer,(v.t.),晒黑,226
brosse,(n.f.),刷子,116
brosser (se),(v.pron.),刷(身体的一部分),116
brouillard,(n.m.),雾,48
bruine,(n.f.),"毛毛雨、蒙蒙细雨",48
brume,(n.f.),"雾、轻雾、雾气",48
"brun, e",(adj.),"褐色的、棕色的、栗色的","71, 88"
brushing,(n.m.),刷子卷发,178
"bruyant, e",(adj.),"大声的、喧哗的",108
budget,(n.m.),预算,172
buffet,(n.m.),"(车站里的)咖啡馆、便餐馆",194
buraliste,(n.m.),烟草店老板,178
bus,(n.m.),公共汽车,178
buste,(n.m.),"上半身、半身雕塑像",74
but,(n.m.),"目标、靶子、球门",204
cabine,(n.f.),"船舱、客舱；小间、小室","214, 98"
cabinet,(n.m.),事务所,133
cacahouète,(n.f.),花生,192
"cadet, te",(adj.),"年龄较小的、较年轻的",20
cadre,(n.m.),干部,134
café,(n.m.),咖啡,"150, 194"
cafetière,(n.f.),咖啡壶,188
cahier,(n.m.),本子,124
"caissier, ère",(n.),"出纳员、收款员",133
caleçon,(n.m.),男衬裤,92
calendrier,(n.m.),"历法、日历",
calme,(adj.),"平和的、宁静的",54
calvados,(n.m.),苹果烧酒,176
camembert,(n.m.),卡芒贝尔奶酪,176
caméra,(n.f.),摄像机,144
caméscope,(n.m.),(便携式)摄像机,144
camion,(n.m.),卡车,108
campagne,(n.f.),乡村,56
camper,(v.i.),"扎营、安营扎寨、露营",224
camping,(n.m.),露营,224
canapé,(n.m.),"靠背长沙发、长沙发",104
canard,(n.m.),鸭子,"66, 46"
canicule,(n.f.),"伏天、炎热、酷热",46
cantal,(n.m.),康塔尔干酪,176
cantine,(n.f.),"餐厅、食堂",124
car,(conj.),因为,66
caractère,(n.m.),"性格、个性、字体","66, 160"
carafe,(n.f.),"冷水瓶、长颈大肚玻璃瓶",190
caravane,(n.f.),(用汽车牵引的)旅行挂车,224
"cardinal, e, aux",(adj.),"基本的、主要的",52
caresser,(v.t.),抚摸,66
carnet,(n.m.),"记事本、(银行)存折",170
carotte,(n.f.),胡萝卜,62
carreau,(n.m.),"方块、(门窗)玻璃、方格","94, 118"
carrefour,(n.m.),十字路口,218
carrelage,(n.m.),"瓷砖贴面、方砖贴面",106
cartable,(n.m.),书包,124
carte,(n.f.),"证件、证书、卡、地图",168
cartes,(n.f.pl.),"卡片、扑克牌",200
carton,(n.m.),"纸板、纸盒、纸箱",102
